"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"125","Z. Makore","People's Land of Maneau","FW","Horrible Grizzlies",21,1997,24.64,0.62,3.59,1.52,39.83,3.5,1.4,0.24,0.48,11.05,0.09,0.08,-0.03,0.64,0.63,0.18,0.13,0.04,24.62,11.64,16.72,69.93,171.36,32.99,6.43,8.95,71.58,3.2,4.11,76.23,0.97,1.41,74.39,0.12,0.06,0.04,24.6,0.61,0.34,0.18,0.23,0.17,0.09,0.56,24.95,0.41,17.51,5.33,30.11,0.83,6.85,9.76,0.94,0.23,0.04,0.65,0.13,0.76,0.97,-0.06,"A",2020
"126","D. Kayira","Slandsganiamayotteque","FW","Horrible Grizzlies",20,1998,19.08,0.5,3.35,1.41,40.27,3.29,1.33,0.22,0.4,13.24,-0.05,0,-0.04,0.41,0.48,0.2,-0.03,-0.05,19.06,28.56,36.57,78.03,440.84,84.84,16.6,19.44,85.53,9.07,11.17,80.34,2.1,3.53,60.83,0.26,0.17,-0.03,19.15,1.66,0.98,0.85,0.45,0.28,0.53,1.84,31.34,1.18,19.75,5.88,29.24,4.73,9.05,6.15,1.21,-0.05,0.01,1.13,0.09,1.77,0.5,-0.04,"A",2020
"127","X. Nakanwagi","Southern Ristan","FW","Horrible Grizzlies",25,1993,2.69,0.31,5.62,0.75,13.33,5.59,0.7,0.14,0.51,13.01,-0.04,0.04,-0.01,0.88,0.88,0.16,-0.4,-0.44,2.73,22.61,28.13,80.25,286.66,31.49,13.8,16.75,82.12,5.85,6.58,88.96,1.1,1.57,75,0.28,0.02,0.33,2.68,0.72,0.28,0.65,0.01,0.07,-0.04,0.71,-0.01,0.66,26.79,6.34,23.68,1.93,12.64,12.11,1.52,0.68,0.02,0.73,0.03,0.79,0.46,0.01,"A",2020
"135","J. Wan","People's Land of Maneau","MFFW","Horrible Grizzlies",23,1996,2.33,-0.03,1.83,0.02,0.01,1.63,0.01,0.08,NA,9.07,0.07,0.01,0.03,0.19,0.32,0.04,-0.32,-0.28,2.24,50.44,57.03,88.47,798.67,146.94,26.92,30.37,88.68,17.76,20.1,89.01,4.39,4.74,90.83,0.44,0.04,0.34,2.32,0.02,0.08,-0.04,0.09,-0.04,-0.04,0.46,-0.05,0.36,9.08,4.35,47.68,3.46,1.72,3.91,1.28,0.46,-0.03,0.84,0.01,0.03,1.4,-0.09,"A",2020
"136","O. Nampeera","People's Land of Maneau","MFFW","Horrible Grizzlies",20,1999,31.98,0.31,2.4,0.99,37.29,2.45,0.92,0,0.25,20.38,0.34,0.08,0.07,0.33,0.14,0.01,-0.07,-0.01,31.85,34.96,43.2,80.97,559.34,148.64,19.36,21.17,91.73,10.47,13.03,80.27,3.51,6.21,57.66,0.21,0.18,0.03,31.86,1.42,0.97,0.39,0.6,0.42,0.48,1.38,27.68,1.13,22.76,6.38,28.2,3.79,10.61,8.39,0.75,0.04,0.05,0.69,0.54,1.89,0.59,-0.01,"A",2020
"145","Q. Mbambu","Lefghau","FW","Horrible Storm",22,1996,19.89,0.3,1.68,0.87,48.52,1.85,0.94,0.17,0.27,11.99,-0.02,0.09,0.05,0.24,0.18,0.16,-0.1,0.03,19.9,13.91,18.96,73.55,223.16,30.99,7.46,9.77,75.42,4.78,6.3,77.92,1.1,1.79,67.58,0.03,0.04,-0.06,19.83,0.71,0.5,0.06,0.28,0.27,-0.03,0.32,0.08,0.32,15.79,3.92,24.91,0.78,7.4,7.55,0.81,0.21,0.08,0.7,0.21,0.91,1.31,-0.04,"A",2020
"146","K. Muhumuza","People's Land of Maneau","FW","Horrible Storm",21,1998,6.08,0.06,2.66,0.85,31.23,2.71,0.85,-0.05,-0.04,9.37,-0.02,0.05,-0.03,0.38,0.34,0.18,-0.27,-0.32,6.05,17.5,23.25,75.43,241.79,32.99,10.62,13.42,79.39,4.88,6.76,73.19,1.19,1.39,87.6,0.04,0.01,-0.02,6.05,0.24,0.34,0.02,0.25,-0.02,-0.01,0.52,0.07,0.44,14.45,3.15,21.56,0.48,8.11,5.71,0.91,0.11,0.04,0.71,0.07,0.35,0.55,-0.02,"A",2020
"147","M. Adoch","United Provinces of Somoe","FW","Horrible Storm",26,1992,10.58,0.18,1.71,0.33,17.68,1.62,0.28,0.13,0.25,10.08,0.03,0.07,-0.02,0.25,0.18,0.15,-0.15,0,10.49,12.05,17,70.86,179.23,26.98,7.42,9.59,79,3.44,4.91,69.21,0.94,1.46,56.21,0.08,0.05,0.06,10.6,0.85,0.63,0.03,0.47,0.21,0.03,0.87,11.01,0.83,16.41,4.21,25.95,0.65,7.99,7.86,0.71,0.09,-0.05,0.64,-0.03,0.85,0.63,-0.03,"A",2020
"148","H. Nsamba","Byasier Pujan","FWMF","Horrible Storm",24,1995,22.75,0.13,2.21,0.76,38.09,2.19,0.84,0.06,0.21,18.12,0.21,-0.01,0.01,0.21,0.31,0.04,-0.13,-0.2,22.87,17.61,27,65.37,299.01,85.74,9.74,11.98,81.29,4.98,7.93,63.41,2.36,4.68,48.62,0.19,0.2,-0.03,22.73,0.81,0.5,0.53,0.14,0.03,0.19,0.99,20.81,0.81,15.48,3.22,21.19,3.13,7.1,5.17,0.79,0.13,0.02,0.79,0.38,1.15,0.59,-0.01,"A",2020
"149","R. Dijkstra","Central Diasongo","FWMF","Horrible Storm",29,1989,1.21,-0.06,1.48,-0.1,-0.06,1.61,0,0,NA,19.68,-0.04,-0.07,-0.04,0.06,0.11,-0.02,-0.07,-0.15,1.4,14.56,23.16,63.21,237.7,6.08,6.91,11.5,59.96,7.63,10.73,71.33,-0.06,0.1,NA,-0.04,0.06,0.02,1.23,0.07,-0.01,-0.06,-0.01,0.07,-0.05,0.75,0.07,0.7,25.32,7.01,27.22,4.66,11.58,9.24,1.44,1.53,-0.08,0.09,-0.06,-0.04,1.51,-0.06,"A",2020
"150","E. Estrada","Frenchdo Stanser","FWMF","Horrible Storm",24,1994,21.61,0.26,2.27,0.87,34.03,2.37,0.68,0.13,0.44,17.15,0.11,0.02,-0.03,0.22,0.1,0.07,0.17,0.03,21.7,13.66,20.53,66.3,218.77,59.23,7.57,9.05,82.1,4.68,6.92,68.89,0.96,3.2,32.83,0.03,0.04,0.06,21.8,1.93,1.35,0.92,0.69,0.4,0.3,1.95,16.79,1.56,24.41,5.96,24.22,7.64,10.67,6.36,1.87,0.16,0.03,1.89,0.77,2.82,0.73,0.07,"A",2020
"151","E. Amponsah","Nganion","FWMF","Horrible Storm",28,1991,3.61,-0.06,1.64,0.34,16.69,1.59,0.37,-0.02,-0.07,19.56,-0.02,-0.07,0.09,0.14,-0.02,0.05,-0.15,-0.09,3.62,19.64,26.51,74.49,380.59,168.89,9.54,10.87,87.45,7.27,9.9,73.08,2.79,4.55,58.76,0.32,0.21,0.09,3.76,0.74,0.56,0.28,0.24,0.27,0.64,2.38,22.26,1.84,32.24,4.55,14.31,11.8,13.79,6.4,0.75,0.03,0.07,0.88,0.63,1.28,1.55,0.02,"A",2020
"152","K. Namuwaya","People's Land of Maneau","FWMF","Horrible Storm",23,1995,35.93,0.32,2.11,0.7,30.56,2.06,0.54,0.09,0.27,18,0.06,0.09,0.03,0.17,0.14,0.08,-0.04,0.07,35.84,33.87,42.74,79.03,645.06,178.98,13.75,15.79,87.52,14.43,16.81,86.69,4.74,7.95,58.55,0.11,0.2,0.04,36,0.96,0.7,0.31,0.45,0.15,0.25,0.78,25.88,0.67,15.91,4.34,26.75,4.46,6.36,5.05,1.62,0.37,-0.01,1.23,0.51,1.37,0.34,0.03,"A",2020
"153","C. Quartey","Slandsganiamayotteque","FWMF","Horrible Storm",18,2001,0.61,0.09,1.74,-0.02,-0.03,1.82,-0.02,-0.06,NA,21.47,-0.06,0.03,0.09,-0.04,0.01,0.02,-0.01,0.07,0.63,13.23,18.27,72.66,133.24,6.61,10.01,13.22,75.05,1.71,1.57,99.93,-0.09,-0.05,NA,-0.08,-0.06,0.01,0.58,1.65,1.59,0.08,1.72,-0.07,-0.05,1.61,-0.06,1.65,39.96,11.64,29.27,4.9,11.76,23.22,0.02,-0.03,0.08,0.07,0,1.6,0.06,0.01,"A",2020
"163","H. Shoko","Nganion","MFFW","Horrible Storm",26,1992,0.21,-0.03,0.09,-0.08,NA,-0.05,-0.1,NA,NA,NA,-0.07,-0.09,-0.01,-0.05,0.04,NA,0.03,-0.08,0.16,19.95,24.9,79.97,404.91,139.95,9.95,14.96,66.7,0.04,0.02,NA,9.96,9.93,100.05,0.03,0,-0.01,0.29,0.08,-0.02,0.05,0.08,-0.04,0.03,10.08,-0.01,10.07,49.99,4.98,9.98,0,45.09,5.04,4.92,0.04,0.09,4.92,-0.03,-0.05,5.02,5.09,"A",2020
"164","C. Awad","People's Land of Maneau","MFFW","Horrible Storm",28,1990,2.16,-0.09,0.95,0.08,0.03,0.86,0.01,-0.05,NA,18.93,0.05,-0.09,-0.03,0.01,0.1,0.12,-0.05,-0.06,2.24,27.23,36.86,74.14,597.78,115.4,11.37,13.21,86.26,9.93,14.98,66.69,5.44,7.35,75.05,0.05,0.11,-0.04,2.29,2.19,0.85,1.43,0.54,0.5,-0.02,1.83,-0.05,1.81,27.63,8.18,29.42,10.93,8.28,8.66,2.7,-0.1,-0.03,2.76,-0.05,2.34,0.43,-0.03,"A",2020
"177","G. Dijkstra","People's Land of Maneau","DFFW","Mighty Jays",17,2001,19.56,-0.01,0.7,0.13,30.71,0.59,0.19,0.02,0.16,17.5,0.07,0.05,-0.01,0.15,0.11,0.11,-0.06,0.04,19.46,33.87,43.35,78.03,551.82,160.69,17.2,19.55,87.9,13.8,16.83,82.35,2.02,4.35,48.8,0.28,0.1,0.02,19.56,1.94,1.14,1.12,0.5,0.35,0.67,1.73,39.45,1.03,14.88,4.21,29.19,5.29,5.46,3.86,1.3,0.22,-0.03,1.01,0.55,2.5,1,0.15,"A",2020
"178","G. Siddiqui","Central Diasongo","FW","Mighty Jays",24,1995,22.36,0.15,2.29,0.73,32.75,2.27,0.8,0.1,0.28,19.33,0.27,0.06,0.05,0.29,0.11,0.11,-0.07,0.04,22.27,27.64,36.07,76.78,442.55,106.51,15.86,17.77,89.18,8.74,11.08,79.11,2.44,5.24,47.13,0.28,0.29,0.16,22.33,1.4,0.78,0.55,0.62,0.14,0.56,1.04,47.7,0.47,15.82,3.96,25.06,4.3,7.08,4.64,0.88,0,0.03,0.84,0.49,1.81,0.12,0.1,"A",2020
"179","U. Nalumansi","Czechnor","FW","Mighty Jays",30,1989,34.82,0.65,2.63,1.22,44.41,2.61,1.2,0.24,0.5,15.37,0,-0.03,-0.04,0.46,0.44,0.24,0.17,0.11,34.73,17.58,25.46,68.82,269.54,74.22,9.9,12.47,79.33,6.44,9.2,68.76,0.99,2.03,45.19,0.01,0.16,-0.05,34.77,1.05,0.73,0.46,0.45,0.34,0.4,1.47,24.09,1.18,16.53,3.76,22.66,3.17,7.37,5.94,1.69,0.13,-0.05,1.61,0.27,1.42,0.52,0.04,"A",2020
"180","F. Heng","Dosqaly","FW","Mighty Jays",28,1991,20.88,0.39,2.64,1.2,49.08,2.5,1.15,0.1,0.36,11.91,0.23,-0.08,0.06,0.31,0.32,0.13,0,0.06,20.75,18.62,24.07,77.56,282.02,51.19,10.66,12.28,86.73,5.49,6.81,79.61,1.57,2.68,57.06,0.12,0.14,-0.01,20.71,1.13,0.94,0.31,0.67,0.31,0.15,0.77,23.49,0.57,22.31,5.46,24.63,2.6,10.67,9.05,0.54,0.04,-0.06,0.65,0.46,1.54,0.74,-0.04,"A",2020
"181","B. Asiedu","Isle of Lababwe","FW","Mighty Jays",30,1989,1.18,-0.07,1.62,-0.1,-0.02,1.65,-0.05,-0.02,NA,14.55,-0.06,0.05,-0.05,0.33,0.18,0.17,-0.18,-0.23,1.26,48.29,64.17,75.26,781.66,184.2,24.99,26.75,93.87,16.77,22.44,74.06,4.94,9.18,54.55,0.03,0.09,-0.07,1.12,-0.05,-0.04,0.07,-0.07,0.07,-0.07,2.4,0,2.51,26.68,6.75,24.94,3.31,13.27,10.04,1.68,0.03,0,1.61,0.77,0.93,0.9,0.07,"A",2020
"182","I. Kakuru","Lefghau","FW","Mighty Jays",18,2001,7.39,0.36,1.53,0.63,41.75,1.6,0.67,0.15,0.65,13.12,0.09,0.01,-0.04,0.36,0.21,0.21,0.13,0.13,7.42,11.68,18.67,62.3,168.01,50.47,7.74,10.3,76.39,2.64,5.35,48.74,0.88,1.26,69.97,0.03,0.12,-0.08,7.36,3.19,1.81,1.58,1.27,0.27,0.71,2.17,31.35,1.5,33.41,9.25,27.82,11.93,13.69,7.81,2.62,0.1,-0.08,2.51,0.28,3.36,0.99,0.01,"A",2020
"183","C. Ssentamu","People's Land of Maneau","FW","Mighty Jays",20,1999,7.03,0.32,2.16,0.71,33.37,2.17,0.67,0.13,0.34,12.39,-0.07,0.03,-0.1,0.42,0.42,0.27,-0.22,-0.09,6.91,15.94,19.92,79.38,238.3,35.38,9.29,10.75,86.72,5.56,6.8,83.08,0.7,1.2,62.57,-0.02,0.13,-0.04,7.03,1.51,1.03,0.61,0.63,0.23,0.38,0.97,28.56,0.74,23.31,5.63,23.88,1.52,11.15,10.65,0.69,-0.01,0.05,0.66,0.77,2.19,0.56,0,"A",2020
"184","I. Nugraha","People's Land of Maneau","FW","Mighty Jays",19,1999,6.98,0.18,1.6,0.63,36.3,1.57,0.66,0.11,0.27,16.82,0.07,-0.08,-0.07,0.16,0.12,0.11,-0.08,0,7.01,26.57,33.39,79.59,418.83,115.82,15.24,17.47,87.74,7.79,9.16,85.8,2.45,4.52,54.82,-0.05,0.1,-0.09,6.98,1.78,0.82,1.22,0.42,0.2,1.11,1.91,57.14,0.88,23.3,4.35,18.81,7.36,9.96,6.16,1.88,0.22,0.09,1.75,0.62,2.34,0.31,-0.06,"A",2020
"193","Y. Ferrara","People's Land of Maneau","MFFW","Mighty Jays",19,1999,9.56,0.14,1.45,0.38,28.54,1.48,0.35,0.17,0.24,15.36,-0.04,0,0.09,0.27,0.21,0.27,-0.19,-0.07,9.45,31.49,38.77,81.23,548.9,152.46,15.14,17.44,86.07,11.91,13.77,86.95,3.24,5.64,58.55,0.1,0.15,0.07,9.43,2.34,1.58,0.66,1.01,0.63,0.4,2.16,20.07,1.69,25.56,7.01,27.61,8.18,13.48,4.04,1.95,0.62,0.02,1.45,0.72,3,1.32,0,"A",2020
"205","B. Maturu","People's Land of Maneau","FW","Odd Ducks",27,1992,32.33,0.3,1.65,0.68,40.74,1.68,0.64,0.12,0.27,11.17,-0.01,0.04,-0.02,0.28,0.36,0.24,-0.09,-0.04,32.37,10.68,16.63,64.43,160.74,35.46,6.07,8.41,71.05,3.27,4.77,69.2,0.67,1.22,61.1,0.07,0.15,-0.14,32.31,0.44,0.4,0.04,0.11,0.16,-0.01,0.4,7.07,0.45,23.82,6.29,26.79,1.74,9.94,12.16,0.52,0.11,-0.01,0.48,0.16,0.5,0.4,0.09,"A",2020
"206","P. Biira","People's Land of Maneau","FWMF","Odd Ducks",21,1998,0.3,0.03,6.59,-0.07,-0.09,6.69,0.08,-0.05,NA,11.62,-0.03,-0.09,-0.05,1.33,1.25,0.21,-1.42,-1.26,0.35,13.32,33.4,40.07,213.33,73.38,6.59,19.95,33.39,6.72,13.33,50.01,-0.07,-0.04,NA,0.06,-0.06,-0.02,0.37,0.08,0.05,0.06,0.03,0.1,0.08,0.01,NA,0.05,53.32,9.94,18.87,0.06,23.26,29.92,3.33,-0.03,0.04,3.26,3.4,3.35,-0.01,-0.07,"A",2020
"207","W. Rashid","People's Land of Maneau","FWMF","Odd Ducks",21,1997,18.37,0.17,1.99,0.39,22.81,1.97,0.4,0.18,0.39,13.9,0.01,0.03,-0.01,0.15,0.23,0.11,-0.03,-0.12,18.22,17.22,23.46,73.81,242.05,49.78,10.44,12.29,86.2,4.58,7.19,64.02,0.96,1.57,55.16,0.03,0.03,0.07,18.32,0.67,0.52,0.02,0.57,0.02,0.16,1.49,11.04,1.32,34.9,8.26,23.56,4.68,17.33,13.06,0.97,0.31,0.05,0.7,0.43,0.93,1.11,-0.01,"A",2020
"208","I. Mlambo","Redohrainbri","FWMF","Odd Ducks",27,1992,22.25,0.26,1.08,0.48,39.11,1.03,0.48,0.15,0.42,13.3,0.03,0.08,0.2,0.33,0.25,0.24,-0.02,-0.04,22.27,16.22,22.24,72.7,243.99,56.82,9.43,11.62,80.76,5.16,7.01,74.17,1.03,1.6,66.64,0.22,0.24,0.05,22.34,0.79,0.72,0.33,0.32,0.16,0.19,0.61,13.23,0.65,22.27,5.58,24.79,3.58,9.9,8.78,1.14,0.2,-0.06,1.11,0.16,0.98,0.53,0.08,"A",2020
"219","T. Cheung","Djipines","MFFW","Odd Ducks",22,1997,18.25,0.35,2.91,1.08,35.27,2.92,1.1,0.22,0.29,19.72,0.7,-0.07,-0.09,0.21,0.26,0.02,0.14,0.06,18.38,24.84,33.39,74.41,485.58,113.74,11.29,13.28,85.24,9.32,11.58,79.79,3.99,6.29,62.08,-0.06,0.11,-0.15,18.28,1.46,0.62,0.43,0.61,0.38,0.76,2,36.04,1.27,22.39,5.14,23.13,7.34,10.48,4.57,1.99,0.19,0.04,1.99,0.42,1.85,1.11,-0.1,"A",2020
"220","D. Masereka","Ngoque Blicri","MFFW","Odd Ducks",25,1994,22.97,0.01,1.14,0.59,44.46,1.1,0.5,-0.03,0.05,17.36,0.14,0.09,-0.03,0.13,0.16,0.12,-0.02,-0.05,23.01,28.29,41.33,68.11,481.45,186.38,13.86,16.45,84.83,10.61,14.62,72.56,3.07,8.03,37.43,0.1,0.14,0.01,23.06,0.4,0.28,0.11,0.07,0.18,0.08,0.69,23.43,0.66,13.1,2.76,21.77,3.48,5.36,4.15,1.19,0.12,0.13,1.15,0.44,0.87,0.82,-0.02,"A",2020
"229","Y. Niemi","Coastpa Barleslands","FW","Old Mustangs",27,1992,30.59,0.56,2.49,1.27,47.45,2.44,1.23,0.34,0.55,13.01,-0.1,-0.02,-0.08,0.5,0.44,0.1,0.15,0.06,30.51,30.54,38.19,80.32,511.7,126.9,15.85,18.4,86.32,10.72,13.3,81,3.11,4.25,75.07,0.28,0.26,0.04,30.46,1.57,1.08,0.5,0.84,0.37,0.5,1.43,32.67,1.07,16.51,5.05,30.33,3.59,5.49,7.46,1.06,0.09,-0.02,0.92,0.29,2,0.16,-0.02,"A",2020
"230","Y. Wood","Frenchdo Stanser","FW","Old Mustangs",27,1992,32.02,0.6,4.06,1.77,43.08,4.15,1.74,0.08,0.27,14.77,0.09,0.02,0.18,0.56,0.5,0.21,-0.03,-0.12,32.09,23.32,31.45,74.23,350.87,93.11,13.75,16.96,81.47,7.57,9.93,77.85,1.25,2.67,51.72,0.38,0.23,-0.02,31.99,0.64,0.39,0.02,0.08,0.43,0.2,0.88,14.81,0.69,17.22,5.62,32.65,1.48,5.05,10.6,0.51,0.04,0.05,0.33,0.12,0.9,0.14,0.03,"A",2020
"231","F. Njoku","Lefghau","FW","Old Mustangs",27,1991,33.17,0.27,3.01,1.03,37,2.97,1.04,0,0.17,13.37,-0.04,0.06,-0.09,0.31,0.5,0.07,-0.12,-0.08,33.2,28.04,35.25,79.4,431.88,108.13,15.26,18.24,83.73,9.73,11.64,82.95,2.01,2.35,78.93,0.21,0.18,0.13,33.26,1.03,0.78,0.16,0.48,0.31,0.24,1.05,29.43,0.79,20.95,6.57,31.03,1.66,9.14,9.94,1.46,0.06,0.06,1.34,0.28,1.47,0.42,-0.04,"A",2020
"232","W. Kayange","Southern Ristan","FW","Old Mustangs",24,1995,8.08,0.6,1.72,0.79,42.83,1.8,0.83,0.26,0.61,15.98,0.07,0.05,0,0.29,0.33,0.1,0.17,0.3,7.96,19.89,27.36,72.02,310.83,43.75,11.1,14.4,76.52,6.06,8.32,74.26,1.96,3.56,51.61,0.16,-0.04,0.08,7.9,1.8,1.17,0.35,0.96,0.69,0.59,0.8,57.16,0.36,18.96,6.68,34.91,1.79,7.57,9.49,0.76,-0.03,-0.03,0.72,0.19,2.17,0.9,-0.03,"A",2020
"233","A. Logose","Lylimi","FWMF","Old Mustangs",24,1995,2.72,0.06,3.12,0.67,22.25,3.22,0.77,0.02,-0.01,18.13,0.06,-0.05,0.07,0.44,0.53,0.16,-0.47,-0.59,2.86,35.07,39.62,88.2,523.11,66.47,19.33,21.41,90.04,12.46,13.81,89.78,1.77,2.59,71.44,0.09,-0.05,0.03,2.73,1.51,0.98,0.29,1.14,0.09,0.44,2.43,14.24,2.2,22.53,7.05,31.64,4.02,9.74,8.96,0.99,0.07,-0.02,1,0.03,1.36,0.62,0.02,"A",2020
"234","Q. Nakityo","Quewenia","FWMF","Old Mustangs",27,1991,2.11,0.39,1.95,0.56,25.05,2.01,0.58,0.33,0.95,19.57,0,-0.06,0.02,0.38,0.36,0.18,0.1,0.14,2.15,42.9,51.82,82.56,779.44,251.81,21.92,25.14,86.89,13.34,14.77,90.28,7.24,10.92,65.26,0.02,0.02,-0.19,2.16,0.55,-0.02,-0.02,0.53,-0.03,0.07,-0.01,NA,0.06,18.55,5.79,30.75,5.17,6.22,7.22,0.55,-0.08,-0.03,0.54,0,0.43,-0.1,0.07,"A",2020
"243","I. Ocen","People's Land of Maneau","MFFW","Old Mustangs",31,1988,4.26,0.28,1.21,0.26,20.03,1.1,0.17,0.2,1.07,15.24,-0.06,0.04,0,0.27,0.2,0.25,0.01,0.04,4.27,54.5,64.35,84.73,809.07,188.01,31.74,33.72,93.75,18.98,23,82.41,2.39,3.82,62.48,0.24,0.11,-0.02,4.24,4.79,2.92,2.19,2.22,0.53,2.21,6.42,33.22,4.27,31.48,9.72,31.04,10.67,13.03,7.53,3.08,-0.05,-0.04,3.11,1.53,6.29,0.65,-0.04,"A",2020
"244","L. Edwards","People's Land of Maneau","MFFW","Old Mustangs",25,1993,16.57,0.33,2.48,0.61,24.92,2.48,0.62,0.17,0.48,22.06,0.04,0.07,0.05,0.15,0.22,0.08,0.07,0.06,16.59,35.91,45.24,79.16,721.5,154.84,14.34,16.76,85.73,14.99,18.18,82.56,6.03,8.77,69.36,0.14,0,-0.02,16.59,1.3,0.92,0.22,0.63,0.37,0.24,1.44,20.79,1.17,22.66,6.66,29.7,4.86,10.33,7.61,1.61,0.08,-0.04,1.5,0.85,2.26,0.44,0.01,"A",2020
"253","M. Villa","Coastpa Barleslands","FW","Punctual Rustlers",29,1990,0.22,-0.06,0.02,0.01,NA,-0.01,-0.04,NA,NA,NA,-0.05,-0.08,-0.02,0.06,0.02,NA,0.03,0.03,0.26,15.01,25.05,60.04,200.01,-0.07,10.05,15,66.74,5.09,10,50.06,0.02,0.03,NA,0.08,0,0.03,0.26,19.98,4.94,0.09,9.97,10.06,10.05,10.04,100,-0.09,45.1,4.97,11.02,4.99,24.96,14.99,10.06,-0.06,-0.09,9.94,0.09,19.99,0.02,0.07,"A",2020
"254","L. Lechner","Lefghau","FW","Punctual Rustlers",22,1997,34.07,0.39,2.74,1,34.03,2.58,0.96,0.16,0.36,14.08,-0.08,0,0,0.32,0.27,0.01,0.12,0.2,34.14,15.94,24.06,66.07,260.39,64.78,7.92,10.51,74.84,6.13,8.43,73.57,1.19,2.63,48.32,0.02,0.07,0.04,34.02,2.02,1.32,0.67,0.83,0.43,0.57,1.72,33.27,1.13,20.81,5.41,26.44,3.49,9.67,7.61,1.06,0.09,0.03,0.8,0.32,2.22,1.38,-0.06,"A",2020
"255","N. Ono","People's Land of Maneau","FW","Punctual Rustlers",22,1997,29.12,0.45,2.74,1.21,44.56,2.81,1.37,0.14,0.27,12.11,0,0.07,0.1,0.41,0.54,0.19,-0.04,0.04,29.24,13.56,20.27,66.23,203.49,44.79,7.76,10.94,70.15,4.34,6.74,65.74,0.93,1.31,65.86,0.06,0.06,0.1,29.27,0.53,0.44,0.03,0.31,0.25,0.19,0.64,16.72,0.43,16.04,4.48,27.69,0.33,6.51,9.23,0.79,0.24,0.06,0.66,0.32,0.68,1.2,0.05,"A",2020
"256","J. Lysenko","Sobianitedrucy","FW","Punctual Rustlers",19,2000,9.56,0.31,3.13,1.35,43.28,3.16,1.31,0.07,0.09,15.54,0.04,0.01,0.07,0.36,0.44,0.16,-0.18,-0.26,9.5,10.93,14.93,73.26,151.38,35.59,5.58,7.31,76.79,3.46,3.93,86.87,0.79,1.26,63.56,0.22,0.07,0.2,9.4,0.66,0.63,0.17,0.25,0.28,0.08,0.25,-0.07,0.26,12.55,3.75,30.38,1.29,5.27,5.98,0.35,0.13,0.04,0.32,0.7,1.34,0.27,-0.04,"A",2020
"257","R. Arai","Varijitri Isles","FW","Punctual Rustlers",28,1991,3.23,0.33,3.49,1,27.38,3.32,0.89,0.13,0.37,13.65,-0.09,0.06,0.04,0.18,0.14,0.08,0.13,0.07,3.11,13.07,19.42,67.69,177.78,37.41,8.47,10.95,77.16,3.82,4.91,75.03,0.57,2.4,24.92,-0.05,0.03,-0.02,3.21,0.7,-0.02,-0.06,0.05,0.72,0.1,0.65,-0.07,0.69,16.82,5.07,29.59,0.21,6.55,10.01,0.66,0.22,0.05,0.28,0.05,0.6,0.35,0.01,"A",2020
"265","M. Vásquez","Lefghau","MFFW","Punctual Rustlers",26,1992,14.3,0.13,0.77,0.25,33.21,0.8,0.37,0.2,0.78,15.77,0,-0.06,0.09,-0.01,0.01,0.06,0.09,0.07,14.18,29.91,40.31,74.39,492.79,139.41,14.82,18.05,82.3,12.04,14.72,81.84,2.43,4.61,51.51,0.13,0.15,-0.09,14.16,1.74,1.03,0.58,0.78,0.42,0.44,2.87,14.93,2.45,19.12,4.84,25.48,4.65,9.93,4.44,2.12,0.06,0.09,2.05,0.97,2.72,0.57,-0.08,"A",2020
"266","C. Namutebi","People's Land of Maneau","MFFW","Punctual Rustlers",30,1989,14.38,0.24,1.96,0.79,35.69,2.05,0.74,0.08,0.24,15.93,0.04,-0.1,0.1,0.25,0.1,0.01,-0.09,-0.11,14.35,18.53,28.24,65.6,301.24,88.34,10.14,13.36,76.04,6.57,9.41,70.44,1.56,3.29,45.67,0.28,0.24,0,14.35,1.25,0.63,0.73,0.42,0.14,0.34,0.98,35.63,0.54,13.23,3.06,23.84,3.64,5.88,3.58,1.26,0.05,-0.06,1.14,0.86,2.05,0.28,-0.07,"A",2020
